ID,CONSTITUENCY,MP,APPPELLANT NAME,DATE OF BIRTH,RACE,DWELLING TYPE,NRIC,CONTACT,SUBMITTED DATE,OUTCOME DATE,GOVERNMENT AGENCY NAME,PRIVATE ORGANISATION NAME,APPEAL CATEGORY,APPEAL STATUS,REASON FOR APPEAL,APPEAL OUTCOME,OUTCOME REMARKS,SUPPORTING DOCUMENTS FROM MP,URGENT,REAPPEAL,FOLLOW UP
2406251012,East Coast GRC - Kampong Chai Chee,Heng Swee Keat,Poh Lye Huat,8-Nov-50,Chinese,HDB 2 Room,S0079050H,90295731,26-Jun-24,27-Jun-24,PA Bedok CC (BKCC),,Others,Routed,"Mr Poh Lye Huat (SXXXX050H) is appealing for Bedok PA to contact him with regard to enrolling his sister's helper under the dementia training course for caregivers. His sister suffers from dementia and often falls down and requires a helper who is duly trained to assist her.

Please contact Mr Poh via mobile (9029 5731) and assist him accordingly.",Routed,Resident does not reside in Bedok. For Kampong Chai Chee to follow up pls.,N,N,N,
2406251012,East Coast GRC - Kampong Chai Chee,Heng Swee Keat,Poh Lye Huat,8-Nov-50,Chinese,HDB 2 Room,S0079050H,90295731,26-Jun-24,8-Jul-24,PA Kampong Chai Chee CC (KCCCC),,Local assistance scheme,Appeal Closed,Resident does not reside in Bedok. For Kampong Chai Chee to follow up pls.,Approved,"We have contact Silver Generation Office and they have recommended two organisations that have suitable courses.

These 2 courses have been shared with Mr Poh but he currently is putting the plan on hold as he might be changing maids",N,N,N,
2406251013,East Coast GRC - Kampong Chai Chee,Heng Swee Keat,Poh Lye Huat,8-Nov-50,Chinese,HDB 2 Room,S0079050H,90295731,26-Jun-24,2-Jul-24,Housing & Development Board (HDB),,Others,Appeal Closed,"Mr Poh Lye Huat (SXXXX050H) is appealing to HDB to allow his sister’s house to be approved for the EASE scheme. 

Mr Poh’s sister, Mdm Poh Chai Neo (SXXXX647B), has difficulties moving around in her house at Blk 28 New Upper Changi Road #13-720 S(462028). She also suffers from dementia and has fallen multiple times in her house by tripping or slipping over ledges and surfaces.

While the house already has existing EASE modifications from 2012 for their late mother, the modifications have been insufficient to prevent the falls.

Mr Poh is appealing for anti-skid paint for the toilet and WC, grip bars around the house and widening of the toilet doors. He hopes that this will prevent any more falls from occurring.

Mr Poh has already appealed to HDB about this problem and submitted the relevant documents, hence he hopes HDB will approve his appeal. 

Please respond to Mr Poh via mobile (9029 5731) with a copy for my reference. 

Thank you.",Approved,HDB assisted the FP on the request for EASE.,N,N,N,
2406251011,East Coast GRC - Fengshan,Heng Swee Keat,RAJAN S/O P JAGANATHAN,23-Jan-62,Indian,HDB 3 Room,S1556829A,82381258,26-Jun-24,28-Jun-24,MHA - Singapore Police Force: Police Licence (SPF-PL),,Other police licences,Appeal Sent,"Mr Ranjan's license has expired on 22 May 2024. 

In order to renew his license, he is required to undergo a course. As he cannot read or write, he is appealing for MHA to waive the requirement to undergo the course. He was employed as a security officer for the past 15 years as he has served his full time NS with the Police. His ex-employer, Security Enforcer Pte Ltd is willing to reemploy him once his license is renewed. 

Please review his appeal. You can email his daughter, Ms Kavitharanjan96gmail.com",Pending,,N,N,N,
2406251010,East Coast GRC - Kampong Chai Chee,Heng Swee Keat,LEE YAW ENG,17-Aug-63,Chinese,HDB 3 Room,S1581001G,86224776,26-Jun-24,27-Jun-24,MHA - Immigration & Checkpoints Authority of Singapore (ICA),,"Long Term Visit Pass, Student's Pass, Extension of Stay, Entry Visa",Appeal Sent,"Mr Lee received a letter from ICA informing that his son, Vencent (PP No: C8995268)  needs to apply SPR on his own merits since he is already over 21 years old. 

In view of his heath condition (diabetes, hyperlipidaemia, peripheral vascular disease), he hopes his son can be with him in Singapore on a long term visit pass. 

Please assist to advise him accordingly.",Pending,,N,N,N,
2406251009,East Coast GRC - Bedok,Heng Swee Keat,CHEW KIM LUANG,18-Sep-72,Chinese,HDB 3 Room,S7233690I,98685971,26-Jun-24,5-Jul-24,MHA - Singapore Prison Service (SPS),,Others,Appeal Closed,"Mdm Chew approached me to request assistance in writing to Prisons to request that her son, Mr Lim Jun Jie (S92330691J; inmate no S016832024) be considered for Community Based Programme and allowed to return home and work, subject to conditions. 

Mdm Chew would like the Prisons to consider Mr Lim's active volunteerism and contributions to his local grassroots. In 2020, Mr Lim was awarded the attached Certificate of Appreciation for his contributions to his local community.

Please consider Mdm Chew's request and reply to her directly, with a copy to me.",Rejected,inmate is not suitable for CBP. Serious crime offence.,Y,N,N,
2406251007,East Coast GRC - Siglap,Heng Swee Keat,DONG WEI,16-Oct-87,Chinese,HDB 3 Room,S8756407Z,82008082,26-Jun-24,26-Jun-24,Housing & Development Board (HDB),,Others,Appeal Sent,"Mdm Dong approached me to request for assistance in consulting HDB on viable options that she can consider in downsizing her house from a condominium to a HDB flat due to the sudden passing of her husband.

Mdm Dong's husband passed away suddenly due to a heart attack three weeks ago, at 47 years of age, without any insurance. 

Mdm Dong is now dealing with the aftermath of her husband's sudden death. She is now a single parent looking after two daughters aged three and six. Mdm Dong has also become the caregiver for her husband's parents - her mother-in-law is a stroke survivor and needs help in her daily care as well. 

Although Mdm Dong was previously earning around $8,000 per month running her salon in Bedok, she expects her earnings now to reduce significantly as she needs to split her time between family and work. She also has to shoulder a greater financial burden as her family's sole breadwinner. She is also now saddled with a car loan of more than $70k. 

As such, Mdm Dong is looking to downsize to a HDB flat with her two Singaporean daughters. As she is a Singapore PR, she hopes that HDB can reach out to her to share the viable options and routes that she can take to apply for a sale of balance flat or other suitable options. 

Mdm Dong is fluent only in Mandarin. Grateful if HDB could reach out to Mdm Dong directly and see how to assist her in downsizing to a HDB from a condominium.",Pending,,N,N,N,
2406251001,East Coast GRC - Bedok,Heng Swee Keat,SOO SAN SAN,29-Aug-75,Chinese,Condominium / Private Apartment,S7571849G,81983183,26-Jun-24,27-Jun-24,MHA - Singapore Police Force: Police Case (SPF-PC),,Others / Matters related to police case,Appeal Sent,"The above constituent sought my assistance to appeal to Bedok SPF to expedite her son, Hun Zen Yum (T0875696H) investigation outcome. 

Mdm Soo shared that her son is currently studying in Spring Field Secondary School (Secondary 3) and was recently accused of outrage of modesty. As such, a police report was made on the incident and her child was suspended since April 2024. 

Mdm Soo informed that the school will only allow her son to return to school once the investigation has been completed. Her son felt that he was wrongly accused and punished unfairly. 

According to Mdm Soo, she had contacted Bedok SPF to expedite the investigation but was told that the police would need more time to conclude the investigation and informed her to wait for the outcome. 

She is appealing to Bedok SPF to expedite the investigation as her son was badly affected by this incident.

Please look into her request and reply to her with a copy to me.",Pending,,N,N,N,
2406250995,East Coast GRC - Bedok,Heng Swee Keat,Joey Ong Yen Ling,26-Nov-79,Chinese,HDB 4 Room,S7937916F,97739906,26-Jun-24,29-Jun-24,Housing & Development Board (HDB),,Sales Matters,Appeal Closed,"My constituent sought my assistance to appeal to HDB for a compassionate allocation of a BTO flat after three attempts under the Singles Scheme. 

She has been trying her hardest to secure a 2-room flexi flat of her own and she is feeling utterly demoralised. She is rueing her lack of luck and while she appreciates HDB reply on the different options, she wishes to let HDB know that having grown up and lived a large part of her life in Northeast of Singapore, she wishes to live in the non-mature estates of Sengkang, Hougang or Punggol. She is not able to purchase a resale flat because she lacks the upfront cash payment ability and she certainly cannot afford purchasing a flat in a mature estate (looking at the upcoming launches). 

This will be third attempt and with a queue number of 516, she is not optimistic of securing a flat. She has been trying so hard to be independent and her current housing arrangement (with her brother) is mentally taking a toll. She hopes that HDB will review their decision not to prioritise her allocation on grounds that this is actually her third time applying for a BTO flat. 

Kindly reply to her direct with a copy to me. 

Thank you.",Rejected,"Mr Heng Swee Keat MP for East Coast GRC Thank you for your referral of 25 Jun
2024 (Ref: 008-2406250995) regarding Miss Joey Ong Yen Ling re-appeal. 2 Due to
the limited supply and highly subsidised nature of public housing, we are unable
to accede to appeal for special assistance to flat a flat from HDB, to be fair
to all the other buyers. This is why HDB sells its available flats in public
sales exercises, i.e. a Build-To-Order exercise, Sale of Balance Flats exercise
and open booking, so that all eligible home seekers can have a fair chance to
apply for them. 3 For your information, we wrote to the appellant separately on
29 Jun 2024 to explain the above.",N,N,N,
2406250994,East Coast GRC - Changi Simei,Heng Swee Keat,NG KOK HAN,17-Mar-61,Chinese,Condominium / Private Apartment,S1481869C,94893062,26-Jun-24,2-Jul-24,MAS - Report of regulatory breaches or misconduct by financial institutions/representative (MAS-FI),,Report of regulatory breaches or misconduct by financial institution or its representative,Appeal Closed,"The above constituent sought my assistance with regards to 2 policy which his wife purchased with OCBC-Great Eastern.

Mr Ng shared that his wife invested a total amount $230,000 into 2 policies under PrimeGold Bonus 2 in 2021. The policy numbers are: 023701999-5 ($120,000) and 0236877004 ($110,000). At the point of sales, the relationship manager, Ms Celine Wong shared with them that at the end of 3 years (18 Jun 2024 and 29 Jun 2024), the policy would pay out an interest of $11,000 (023701999-5 - $6,000 and 0236877004 - $5,000). 

Mr Ng shared that his wife engage another RM as the policy was due to mature in Jun 2024. The RM informed them that there would not be any interest payout for both policy. Mr Ng felt that Ms Celine have mislead them and it was against MAS fair deal policy. He also shared that the RM have steered them to purchase the policy as they planned to invest the money in Fixed Deposit. 

Mr Ng also visited OCBC HQ to request to meet Ms Daisy Er (ErPKMdaisy@ocbc.com) with regards the policy but no avail. 

He hopes that MAS could investigate on the wrong doing of Ms Celine and the misrepresentation. He is contactable at 94893062 should MAS require additional information.

Kindly look into his request and reply to him with a copy to me.",Others,"Assisted and responded to the appellant - Dear DPM Heng

We refer to your appeal of 26 June 2024 on behalf of Mr Ng Kok Han. We have responded to him on the appeal.

Pls refer to our reply as appended below:
==========================================================

We have received your appeal of 26 June 2024 made through Mr Heng Swee Keat, Member of Parliament (MP) for East Coast GRC, regarding the policies sold to your wife by a representative from Oversea-Chinese Banking Corporation Limited (OCBC). We are sorry to hear of your wife's experience with OCBC.

We tried calling you on 28 June and 1 July 2024 at the phone number provided in the appeal letter, but were unable to reach you.

We would like to share that when informed about consumers' experiences with financial institutions (FIs), the Monetary Authority of Singapore (MAS) will first ask the FI to look into the matter and give the consumer an explanation. We will also hear from the FI about the issues raised.

To assist you, please let us have your consent to forward your appeal and personal details to OCBC for them to look into your appeal. You may provide your consent by sending us an email at consumers@mas.gov.sg or calling us at 6225 5577. If you are calling us, please quote your case reference number MAS-2024-06-02169 for reference.

On receiving your consent, we will ask OCBC to look into the matter and respond to you. Depending on the complexity of the case, OCBC may take between 14 and 20 business days to do so. We will review OCBC's response and follow up with them on any areas we are concerned about. As our review of OCBC involves confidential information, we will not be able to share details of our review with you.

If you prefer to contact OCBC directly for expediency, you may reach out to the following representatives from OCBC for assistance:

Mr Calvin Fong
Assistant Vice President, Customer Assurance
Email: calvinfongkl@ocbc.com

Mr Tan Kok Chai
Vice President
Customer Assurance
Email: kokchaitan@ocbc.com

We would also like to share that MAS takes a serious view of feedback on possible wrongdoing by FIs or their representatives. FIs and their representatives are expected to conduct themselves in a professional manner and act in the interests of their clients. They are required to disclose and explain clearly the features, risks and other important information of the investment products recommended to their clients, so that clients can make an informed decision.

We hope the above is helpful.

Yours Sincerely

Flora Koh
Consumer Issues Division
Monetary Authority of Singapore
Website: https://www.mas.gov.sg

Cc: (via MP Appeal System)
Mr Heng Swee Keat
Member of Parliament for East Coast GRC
Your ref: 057-2406250994

==========================================",N,N,N,
2406250993,East Coast GRC - Bedok,Heng Swee Keat,TAN LI MIN,16-Dec-97,Chinese,HDB 5 Room,S9745306C,85189040,26-Jun-24,26-Jun-24,Housing & Development Board (HDB),,Sales Matters,Appeal Sent,"Ms Tan has received a reply from HDB informing her medical and dental benefits are considered part of her gross income. As a result, she is only eligible for 5K EHG instead of 15K. She finds this definition not reasonable as she did not gain anything but rather a reimbursement of the medical and dental fees. 

Please review her appeal and advise her accordingly.",Pending,,N,N,N,
2406250992,East Coast GRC - Bedok,Heng Swee Keat,Tan Peck Hiang Jocelyn,1-Jan-67,Chinese,Landed Property,S1827138I,94233911,26-Jun-24,26-Jun-24,Housing & Development Board (HDB),,Others,Appeal Sent,"My resident, Ms Jocelyn Tan, would like to seek clarifications on her HFE letter of eligibility, with the reference number RE: 24071383N. 

She has corresponded to Mr Tan Choon Huat from HDB on multiple occurences with the latest one dating 11 June 2024. She has submitted all the necessary documents on her end including her income statement and CPF, but was told by Mr Tan she cannot apply for a BTO or flexiflat, and can only purchase a resale. Her HFE letter is valid till February 2025. 

Please advise her on why she is not eligibible to purchase a BTO Flexiflat. Please expedite a reply to her via email at tjocelyn9@me.com with a copy of the reply to me.",Pending,,N,N,N,
2406250991,East Coast GRC - Bedok,Heng Swee Keat,LI YALIN,4-Feb-98,Chinese,Condominium / Private Apartment,S9874277H,96389639,26-Jun-24,27-Jun-24,MHA - Immigration & Checkpoints Authority of Singapore (ICA),,Permanent Residence,Appeal Sent,"Ms Li is appealing for PR for her mum, Ms He Wanmei (G0331613R), who is currently holding a LTVP pass. Prior to LTVP, Ms He had  EP and worked in Singapore, conducting classes in early childhood Chinese. She started her own company and got her EP, focusing on education research and conducting classes at the same time that focus on different teaching methods to engage the kids. Ms He scaled down her business down during covid.

Ms Li was born in China and Ms He brought Ms Li to Singapore in 2004. Ms Li studied in Singapore since kindergarten and she got her Singapore citizenship in 2019. She is now a air traffic controller with CAAS. Her mum, Ms He, applied for PR earlier (Ref: EPR-2023-PRE-725646) and was rejected. Ms Li is now applying PR for her mum. Ms He would still like to work and contribute to teaching in Singapore.

Please assist to look into the case.",Pending,,N,N,N,
2406250990,East Coast GRC - Bedok,Heng Swee Keat,LIM AH LEK,31-Jul-50,Chinese,HDB 3 Room,S0633970J,96153827,26-Jun-24,2-Jul-24,MHA - Immigration & Checkpoints Authority of Singapore (ICA),,Singapore Citizenship,Appeal Closed,"My constituent sought my assistance to appeal on behalf his nephew, Lim Kim Chwee (S2080502A) for Singapore citizenship. He has been a community leader for many decades and his nephew has been applying for citizenship many times over the years. 

He is already 70 years old and he has two sons and a wife who are all Singaporeans. In the early 70s, he declined to serve National Service because he was helping his widowed mother ply a hawker trade. Times were tough and the priorities demanded that he remained committed to the work. Fast forward 50 years and he regrets this decision. 

He has been trying to make up for this mistake over the years and have contributed to the Singapore economy and community (he himself a grassroots leader) for many years. He was awarded the PBM in 2011 and he hopes that ICA can take all these into account when reconsidering his appeal for SIngapore citizenship. 

Kindly reply to him direct with a copy to me. Mr Lim Kim Chwee can be contacted at 96153827.

Thank you.",Others,"- - Dear Sir
We refer to your letter/email on behalf of Mdm Lim Ah Lek, for Mr Lim Kim Chwee @ Kaw Tie. We will reply to Mr Lim Kim Chwee @ Kaw Tie on the aoutcome of the appeal.

Thank you.",N,N,N,
2406250989,East Coast GRC - Bedok,Heng Swee Keat,YAP WOI PIN,1-Jun-61,Chinese,HDB 5 Room,S2620853Z,98442794,26-Jun-24,27-Jun-24,Workforce Singapore (WSG),,Employment Assistance and Career Services,Appeal Closed,"My resident, Mdm Yap Woi Pin, NRIC SXXX0853Z, aged 63 years old, is currently working as an assistant teacher at PCF.

As the nature of the work involves administrative and computer work, Mdm Yap finds the job too stressful and would like to request WSG to assist her in other kindergarten institutions. Mdm Yap is ready to accept any job available that does not involve similar administrative work.

Kindly assist Mdm Yap in her request. Mdm Yap is contactable at tel. 98442794 and yapwoi@hotmail.com.

Thank you for your assistance.",Approved,"Dear Mr Heng,

Based on Mdm Yap’s residential address, we have contacted the client, and she has agreed to receive assistance from e2i. Mdm Yap is currently employed as a Chinese teacher in PCF Sparkletots. Client has 30 over years of similar experiences and had resigned from her job recently. She will be serving her notice until Aug 2024. Client resigned as her current role also involves her handling administrative tasks using computer. Client shared that she is not very proficient in computer skills and finds it challenging managing that aspect. As such, client wish to find a teacher assistant role in any childcare centre. e2i has been informed of this appeal and will be following up with client.

Thank you.",N,N,N,
2406250988,East Coast GRC - Bedok,Heng Swee Keat,ROHIMAH BINTE ABDUL SAMAT,28-Apr-70,Malay,HDB 3 Room,S7013554Z,93656171,26-Jun-24,26-Jun-24,Housing & Development Board (HDB),,Sales Matters,Appeal Sent,"Ms Rohimah , a single does not qualify previously to buy a BTO flat in a mature estate. As such, she has no choice to buy a 3-room flat in Bedok South. As the policy now allows her to apply for a BTO flat in a mature estate, she is appealing for HDB to allow her to apply for a 2R Flexi in the upcoming BTO launch at Bayshore. 

Please assist to advise her accordingly.",Pending,,N,N,N,
